x,y,z,Bx,By,Bz
-250.0,-140.0,10.0,0.0449593,0.025182,0.2047223
-250.0,-140.0,12.0,0.0532746,0.02983957,0.2010025
-250.0,-140.0,14.0,0.0612320,0.034296,0.1967040
-250.0,-140.0,16.0,0.0687823,0.03852548,0.1918760
-250.0,-140.0,18.0,0.0758828,0.042502,0.1865749
-250.0,-140.0,20.0,0.0824975,0.04620694,0.1808628
-250.0,-130.0,-20.0,-0.0995296,-0.051697,0.1993667
-250.0,-130.0,-18.0,-0.0917939,-0.04767838,0.2066693
-250.0,-130.0,-16.0,-0.0833902,-0.043312,0.2134580
-250.0,-130.0,-14.0,-0.0743704,-0.03862721,0.2196444
-250.0,-130.0,-12.0,-0.0647973,-0.033654,0.2251503
-250.0,-130.0,-10.0,-0.0547423,-0.02843162,0.2299100
-250.0,-130.0,-8.0,-0.0442819,-0.022998,0.2338701
-250.0,-130.0,-6.0,-0.0334961,-0.01739646,0.2369892
-250.0,-130.0,-4.0,-0.0224661,-0.011667,0.2392372
-250.0,-130.0,-2.0,-0.0112736,-0.00585497,0.2405938
-250.0,-130.0,0.0,-0.00000000,-0.000000,0.2410472
-250.0,-130.0,2.0,0.0112736,0.00585497,0.2405938
-250.0,-130.0,4.0,0.0224661,0.011667,0.2392372
-250.0,-130.0,6.0,0.0334961,0.01739646,0.2369892
-250.0,-130.0,8.0,0.0442819,0.022998,0.2338701
-250.0,-130.0,10.0,0.0547423,0.02843162,0.2299100
-250.0,-130.0,12.0,0.0647973,0.033654,0.2251503
-250.0,-130.0,14.0,0.0743704,0.03862721,0.2196444
-250.0,-130.0,16.0,0.0833902,0.043312,0.2134580
-250.0,-130.0,18.0,0.0917939,0.04767838,0.2066693
-250.0,-130.0,20.0,0.0995296,0.051697,0.1993667
-250.0,-120.0,-20.0,-0.1200845,-0.05744172,0.2192267
-250.0,-120.0,-18.0,-0.1110336,-0.053107,0.2285523
-250.0,-120.0,-16.0,-0.1010637,-0.04833601,0.2372221
-250.0,-120.0,-14.0,-0.0902558,-0.043164,0.2451091
-250.0,-120.0,-12.0,-0.0787078,-0.03764034,0.2521071
-250.0,-120.0,-10.0,-0.0665275,-0.031814,0.2581324
-250.0,-120.0,-8.0,-0.0538273,-0.02574062,0.2631235
-250.0,-120.0,-6.0,-0.0407185,-0.019471,0.2670381
-250.0,-120.0,-4.0,-0.0273093,-0.01305932,0.2698491
-250.0,-120.0,-2.0,-0.0137033,-0.006552,0.2715410
-250.0,-120.0,0.0,-0.00000000,-0.0000000,0.2721057
-250.0,-120.0,2.0,0.0137033,0.006552,0.2715410
-250.0,-120.0,4.0,0.0273093,0.01305932,0.2698491
-250.0,-120.0,6.0,0.0407185,0.019471,0.2670381
-250.0,-120.0,8.0,0.0538273,0.02574062,0.2631235
-250.0,-120.0,10.0,0.0665275,0.031814,0.2581324
-250.0,-120.0,12.0,0.0787078,0.03764034,0.2521071
-250.0,-120.0,14.0,0.0902558,0.043164,0.2451091
-250.0,-120.0,16.0,0.1010637,0.04833601,0.2372221
-250.0,-120.0,18.0,0.1110336,0.053107,0.2285523
-250.0,-120.0,20.0,0.1200845,0.05744172,0.2192267
-250.0,-110.0,-20.0,-0.1445378,-0.063292,0.2403912
-250.0,-110.0,-18.0,-0.1339304,-0.05864160,0.2522764
-250.0,-110.0,-16.0,-0.1220591,-0.053439,0.2632969
-250.0,-110.0,-14.0,-0.1090601,-0.04774582,0.2732679
-250.0,-110.0,-12.0,-0.0950955,-0.041630,0.2820481
-250.0,-110.0,-10.0,-0.0803365,-0.03516937,0.2895415
-250.0,-110.0,-8.0,-0.0649510,-0.028434,0.2956923
-250.0,-110.0,-6.0,-0.0490942,-0.02149243,0.3004755
-250.0,-110.0,-4.0,-0.0329043,-0.014404,0.3038859
-250.0,-110.0,-2.0,-0.0165032,-0.00722489,0.3059280
-250.0,-110.0,0.0,-0.00000000,-0.000000,0.3066079
-250.0,-110.0,2.0,0.0165032,0.00722489,0.3059280
-250.0,-110.0,4.0,0.0329043,0.014404,0.3038859
-250.0,-110.0,6.0,0.0490942,0.02149243,0.3004755
-250.0,-110.0,8.0,0.0649510,0.02843401,0.2956923
-250.0,-110.0,10.0,0.0803365,0.035169,0.2895415
-250.0,-110.0,12.0,0.0950955,0.04163096,0.2820481
